"gene_id","hugo_symbol","entrez_gene_id","mean_classical_expression","mean_proneural_expression","classical_sample_count","proneural_sample_count","log2_fold_change","expression_direction"
"3229","IL31RA","133396","195.30769231","1.89655172","39","29","6.082636470050543","Higher in Classical"
"4914","OR4N2","390429","0.56410256","35.68965517","39","29","-4.551966325362951","Higher in Proneural"
"3635","KRT13","3860","0.33333333","27.82758621","39","29","-4.434340641430449","Higher in Proneural"
"304","ALX1","8092","0.51282051","30.65517241","39","29","-4.387128520292195","Higher in Proneural"
"4720","NTRK1","4914","400.66666667","20.72413793","39","29","4.208627907217143","Higher in Classical"
"7317","TMPRSS2","7113","292.00000000","15.37931034","39","29","4.160954146756729","Higher in Classical"
"3612","KLRC2","3822","26.99307692","408.32931034","39","29","-3.8701199980576466","Higher in Proneural"
"6452","SLC18A3","6572","8.48717949","130.68965517","39","29","-3.795018967375892","Higher in Proneural"
"6374","SHH","6469","129.10256410","9.68965517","39","29","3.605362175352369","Higher in Classical"
"713","BMP3","651","1.71794872","31.65517241","39","29","-3.586721383390495","Higher in Proneural"
"2820","GPRIN2","9721","2.69230769","43.10344828","39","29","-3.57829677221364","Higher in Proneural"
"4695","NRK","203447","23.41025641","1.06896552","39","29","3.5605059420260483","Higher in Classical"
"6720","SOX10","6663","644.23076923","7543.27586207","39","29","-3.54749528690525","Higher in Proneural"
"587","ATP6V0A4","50617","7.15384615","93.86206897","39","29","-3.540278693513148","Higher in Proneural"
"1868","DMRT1","1761","2.35897436","33.89655172","39","29","-3.376991796281231","Higher in Proneural"
"3801","LHX5","64211","1.92307692","29.10344828","39","29","-3.3643690549114402","Higher in Proneural"
"7127","TEX11","56159","0.41025641","13.20689655","39","29","-3.3325620374845255","Higher in Proneural"
"5679","PRSS48","345062","1.07692308","19.68965517","39","29","-3.316389909040937","Higher in Proneural"
"7201","TJP3","27134","1.48717949","22.68965517","39","29","-3.251674668578209","Higher in Proneural"
"5202","PCDHGB4","8641","20.11256410","191.97344828","39","29","-3.192228648656375","Higher in Proneural"
"689","BEND4","389206","6.64102564","68.37931034","39","29","-3.1826672931766624","Higher in Proneural"
"5190","PCDHGA12","26025","980.95128205","110.83689655","39","29","3.134255217395042","Higher in Classical"
"3976","MAGEC2","51438","0.71794872","13.93103448","39","29","-3.1195552460167386","Higher in Proneural"
"2389","FCAMR","83953","15.28205128","0.93103448","39","29","3.0758366377465385","Higher in Classical"
"2639","GCSAML","148823","26.30769231","2.24137931","39","29","3.074627639976241","Higher in Classical"
"4501","NDST4","64579","0.66666667","13.00000000","39","29","-3.0703893250025454","Higher in Proneural"
"4638","NOS2","4843","3063.25743590","371.17310345","39","29","3.041491804500893","Higher in Classical"
"146","ADAM29","11086","0.28205128","9.51724138","39","29","-3.0362304688190136","Higher in Proneural"
"4791","OLIG3","167826","0.82051282","13.72413793","39","29","-3.015766364159322","Higher in Proneural"
"986","CAPN6","827","80.46153846","9.31034483","39","29","2.9820264764158","Higher in Classical"
"6585","SLC6A3","6531","0.35897436","9.41379310","39","29","-2.93790550693008","Higher in Proneural"
"2901","HABP2","3026","71.36282051","8.74241379","39","29","2.892897476218218","Higher in Classical"
"7654","UGT2B7","7364","0.05128205","6.68965517","39","29","-2.8707691203406713","Higher in Proneural"
"1716","DAO","1610","91.10256410","11.86206897","39","29","2.840118590208248","Higher in Classical"
"8151","ZNF676","163223","0.94871795","12.51724138","39","29","-2.794203553526391","Higher in Proneural"
"1304","CHODL","140578","706.69230769","103.13793103","39","29","2.7646265886631096","Higher in Classical"
"2049","EGFR","1956","56668.36769231","8610.63551724","39","29","2.7182099405460427","Higher in Classical"
"2574","GABRE","2564","577.58974359","87.58620690","39","29","2.7073867594088243","Higher in Classical"
"6397","SIM1","6492","0.25641026","7.13793103","39","29","-2.6953544240644054","Higher in Proneural"
"3156","IFNG","3458","10.28205128","0.82758621","39","29","2.6260180325146423","Higher in Classical"
"5911","REG1B","5968","6.20512821","0.17241379","39","29","2.6195422600301894","Higher in Classical"
"4636","NOS1","4842","7.46153846","50.65517241","39","29","-2.6099209181005056","Higher in Proneural"
"613","AVIL","10677","3497.79487179","577.31034483","39","29","2.5969422699458136","Higher in Classical"
"2200","ESRP1","54845","2.69230769","21.24137931","39","29","-2.5906515734858693","Higher in Proneural"
"4668","NPR3","4883","4.38461538","31.13793103","39","29","-2.5773618517599792","Higher in Proneural"
"6375","SHISA2","387914","7.05128205","46.65517241","39","29","-2.565342375349544","Higher in Proneural"
"4053","MATN4","8785","10.64102564","67.79310345","39","29","-2.5630457677183354","Higher in Proneural"
"4541","NEUROG2","63973","6.07692308","40.06896552","39","29","-2.536854464287377","Higher in Proneural"
"8171","ZNF727","442319","3.38461538","24.37931034","39","29","-2.5331306661535646","Higher in Proneural"
"3613","KLRC3","3823","39.46846154","232.73965517","39","29","-2.530032606456439","Higher in Proneural"
"7223","TLX3","30012","0.07692308","5.10344828","39","29","-2.5027093478963005","Higher in Proneural"
"754","BRS3","680","1.02564103","10.37931034","39","29","-2.489962686090524","Higher in Proneural"
"5243","PDGFRA","5156","7665.48589744","42751.25482759","39","29","-2.4793631689040834","Higher in Proneural"
"1673","CYP27B1","1594","241.35897436","1322.06896552","39","29","-2.4486708541963136","Higher in Proneural"
"3587","KLHDC7A","127707","28.43589744","4.44827586","39","29","2.4337049555127934","Higher in Classical"
"212","AFF2","2334","34.94871795","190.82758621","39","29","-2.4157979799513134","Higher in Proneural"
"2015","ECEL1","9427","20.71794872","114.79310345","39","29","-2.4145895792240015","Higher in Proneural"
"4091","MDGA2","161357","41.76923077","225.79310345","39","29","-2.406731605211539","Higher in Proneural"
"5149","PCDH11X","27328","40.97435897","220.86206897","39","29","-2.402082838089442","Higher in Proneural"
"973","CAMKV","79012","243.74358974","1290.06896552","39","29","-2.3992230889468735","Higher in Proneural"
"2199","ESR2","2100","141.41025641","26.06896552","39","29","2.3953413941555746","Higher in Classical"
"1271","CFHR5","81494","6.94871795","0.51724138","39","29","2.389271562479077","Higher in Classical"
"4500","NDST3","9348","19.89743590","105.93103448","39","29","-2.3552827850145848","Higher in Proneural"
"3712","L1CAM","3897","481.30769231","2411.96551724","39","29","-2.322781573808417","Higher in Proneural"
"6446","SLC17A6","57084","36.82051282","188.20689655","39","29","-2.3227238450733836","Higher in Proneural"
"3961","MAG","4099","754.53846154","3759.03448276","39","29","-2.3151687883248657","Higher in Proneural"
"1584","CSMD3","114788","37.53846154","190.44827586","39","29","-2.312583782320557","Higher in Proneural"
"7321","TMSB15A","11013","199.69230769","992.65517241","39","29","-2.307759960114642","Higher in Proneural"
"2787","GPR17","2840","755.00000000","3717.01034483","39","29","-2.2980726447976125","Higher in Proneural"
"1520","CPNE8","144402","623.69230769","127.24137931","39","29","2.2842839173091463","Higher in Classical"
"5894","RBP3","5949","2.89743590","17.86206897","39","29","-2.2748907324767043","Higher in Proneural"
"6780","SPHKAP","80309","38.58974359","190.51724138","39","29","-2.274275648280232","Higher in Proneural"
"7380","TP63","8626","69.97435897","13.79310345","39","29","2.2623731661456508","Higher in Classical"
"6208","SCN10A","6336","0.23076923","4.89655172","39","29","-2.260311237789179","Higher in Proneural"
"1695","CYP4F3","4051","107.74358974","21.72413793","39","29","2.258632888871796","Higher in Classical"
"1463","COL23A1","91522","317.58974359","65.72413793","39","29","2.2554191565940855","Higher in Classical"
"4399","MYO18B","84700","21.69230769","3.75862069","39","29","2.2535879642061443","Higher in Classical"
"2402","FCRLA","84824","37.41025641","182.03448276","39","29","-2.252551970668131","Higher in Proneural"
"3268","INSC","387755","2.84615385","17.10344828","39","29","-2.2347761446800622","Higher in Proneural"
"5150","PCDH11Y","83259","8.15384615","41.96551724","39","29","-2.230729313290743","Higher in Proneural"
"5195","PCDHGA6","56109","469.89717949","99.35551724","39","29","2.230292147572401","Higher in Classical"
"297","ALPK2","115701","29.69230769","141.89655172","39","29","-2.2190220745442404","Higher in Proneural"
"2997","HIST1H3J","8356","1.89743590","12.20689655","39","29","-2.188442841782549","Higher in Proneural"
"4675","NPY5R","4889","6.87179487","34.86206897","39","29","-2.1876941919029034","Higher in Proneural"
"5321","PHKG1","5260","2600.20512821","571.27586207","39","29","2.184397511045732","Higher in Classical"
"4536","NETO1","81832","62.74358974","288.58620690","39","29","-2.183640715617297","Higher in Proneural"
"2151","EPHB1","2047","714.61538462","3241.79310345","39","29","-2.1799806714200796","Higher in Proneural"
"6616","SLCO5A1","81796","20.12820513","94.34482759","39","29","-2.173984461609915","Higher in Proneural"
"2246","F5","2153","28.66666667","132.68965517","39","29","-2.1719730941914515","Higher in Proneural"
"799","C12orf66","144577","205.89743590","921.55172414","39","29","-2.156714034286656","Higher in Proneural"
"7884","XKR7","343702","5.56410256","28.24137931","39","29","-2.155341679185615","Higher in Proneural"
"3076","HRH3","11255","26.48717949","120.75862069","39","29","-2.1471931388926944","Higher in Proneural"
"6218","SCN5A","6331","11.66666667","54.72413793","39","29","-2.137265474496247","Higher in Proneural"
"2250","FA2H","79152","165.12820513","728.10344828","39","29","-2.133826490900258","Higher in Proneural"
"7046","TAT","6898","21.20512821","4.06896552","39","29","2.131129645687148","Higher in Classical"
"1281","CHAT","1103","1.02564103","7.86206897","39","29","-2.129265022377848","Higher in Proneural"
"3616","KLRK1","22914","41.46538462","184.06655172","39","29","-2.1236849491225906","Higher in Proneural"
"5917","REN","5972","5.58974359","0.51724138","39","29","2.118771706222306","Higher in Classical"
"7786","VSTM2A","222008","1523.04820513","350.81241379","39","29","2.1150302408296144","Higher in Classical"
"1432","CNTN3","5067","30.94871795","137.00000000","39","29","-2.1108383225587937","Higher in Proneural"
"6684","SNTG2","54221","1.74358974","10.82758621","39","29","-2.1080190057700117","Higher in Proneural"
"6560","SLC4A1","6521","3.30769231","17.44827586","39","29","-2.0984988813107956","Higher in Proneural"
"4269","MRGPRX4","117196","3.28205128","0.00000000","39","29","2.0983020729206925","Higher in Classical"
"6266","SEMA3C","10512","216.00000000","928.13793103","39","29","-2.0981977386987256","Higher in Proneural"
"4673","NPY2R","4887","235.00000000","54.51724138","39","29","2.087779071469571","Higher in Classical"
"1224","CEACAM7","1087","0.02564103","3.34482759","39","29","-2.082773047477764","Higher in Proneural"
"2846","GRIN2B","2904","4.53846154","22.41379310","39","29","-2.0798014852026427","Higher in Proneural"
"1449","COL11A1","1301","423.20512821","1789.55172414","39","29","-2.077570227968187","Higher in Proneural"
"7137","TFAP2B","7021","39.66666667","169.68965517","39","29","-2.069456977746716","Higher in Proneural"
"7967","ZFP57","346171","6.33333333","29.72413793","39","29","-2.066831509082748","Higher in Proneural"
"1861","DLK1","8788","36.51282051","155.24137931","39","29","-2.0583209452127975","Higher in Proneural"
"6625","SLITRK1","114798","206.46153846","856.20689655","39","29","-2.046799558771751","Higher in Proneural"
"3424","KCNG4","93107","22.07692308","4.58620690","39","29","2.046509963899576","Higher in Classical"
"2584","GAL3ST1","9514","122.58974359","506.51724138","39","29","-2.037897811897261","Higher in Proneural"
"4127","METTL1","4234","1269.66666667","5138.93103448","39","29","-2.0161633835187613","Higher in Proneural"
"1675","CYP2B6","1555","3.46153846","0.10344828","39","29","2.015522266206557","Higher in Classical"
"5171","PCDHA9","9752","18.69461538","78.49965517","39","29","-2.0131473601644494","Higher in Proneural"
"3672","KRT86","3892","3.94871795","18.93103448","39","29","-2.009889868396687","Higher in Proneural"
"8189","ZNF804A","91752","66.41025641","266.44827586","39","29","-1.9882198852205002","Higher in Proneural"
"8108","ZNF536","9745","94.79487179","377.89655172","39","29","-1.983783679157469","Higher in Proneural"
"4763","NYAP2","57624","2.89743590","14.41379310","39","29","-1.9836247302027636","Higher in Proneural"
"3875","LRP2","4036","69.58974359","278.03448276","39","29","-1.9829129336997238","Higher in Proneural"
"7564","TUBB4A","10382","3691.07692308","14554.24137931","39","29","-1.9790342484000354","Higher in Proneural"
"562","ATP10B","23120","218.43589744","863.72413793","39","29","-1.9784404062703682","Higher in Proneural"
"3975","MAGEC1","9947","0.53846154","5.03448276","39","29","-1.9717417388440046","Higher in Proneural"
"5538","POU4F2","5458","2.64102564","13.27586207","39","29","-1.9711610622400992","Higher in Proneural"
"1729","DCAF12L2","340578","1.10256410","7.20689655","39","29","-1.9646869838804957","Higher in Proneural"
"6861","ST18","9705","114.30769231","444.82758621","39","29","-1.9509971280867084","Higher in Proneural"
"4606","NLRP7","199713","3.79487179","0.24137931","39","29","1.9495482336455427","Higher in Classical"
"5212","PCK1","5105","3.20512821","15.24137931","39","29","-1.9494524670298046","Higher in Proneural"
"4457","NAT16","375607","118.15384615","458.72413793","39","29","-1.947942896378781","Higher in Proneural"
"2644","GDF3","9573","7.74358974","1.27586207","39","29","1.9418125846830683","Higher in Classical"
